commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Maison,87.0,3.0,220000.0,2528.74,2023-03-20
Bouguenais,44020,44340,Maison,88.0,4.0,310000.0,3522.73,2023-03-13
Bouguenais,44020,44340,Maison,88.0,4.0,310000.0,3522.73,2023-03-13
Bouguenais,44020,44340,Maison,88.0,4.0,295000.0,3352.27,2023-03-10
Bouguenais,44020,44340,Maison,88.0,4.0,255000.0,2897.73,2023-08-04
Bouguenais,44020,44340,Maison,88.0,3.0,294100.0,3342.05,2023-11-24
Bouguenais,44020,44340,Maison,89.0,5.0,286000.0,3213.48,2023-05-24
Bouguenais,44020,44340,Maison,90.0,5.0,324800.0,3608.89,2023-06-09
Bouguenais,44020,44340,Maison,90.0,4.0,260000.0,2888.89,2023-05-30
Bouguenais,44020,44340,Maison,90.0,6.0,325000.0,3611.11,2023-06-21
Bouguenais,44020,44340,Maison,90.0,5.0,260000.0,2888.89,2023-06-21
Bouguenais,44020,44340,Maison,90.0,6.0,271000.0,3011.11,2023-07-28
Bouguenais,44020,44340,Maison,90.0,4.0,210000.0,2333.33,2023-08-10
Bouguenais,44020,44340,Maison,90.0,4.0,210000.0,2333.33,2023-08-10
Bouguenais,44020,44340,Maison,91.0,4.0,301000.0,3307.69,2023-02-01
Bouguenais,44020,44340,Maison,91.0,5.0,315000.0,3461.54,2023-06-21
Bouguenais,44020,44340,Maison,92.0,5.0,60000.0,652.17,2023-02-15
Bouguenais,44020,44340,Maison,92.0,5.0,181500.0,1972.83,2023-06-02
Bouguenais,44020,44340,Maison,92.0,5.0,270000.0,2934.78,2023-09-07
Bouguenais,44020,44340,Maison,94.0,3.0,310000.0,3297.87,2023-02-24
Bouguenais,44020,44340,Maison,94.0,5.0,303000.0,3223.4,2023-03-15
Bouguenais,44020,44340,Maison,94.0,5.0,245520.0,2611.91,2023-08-16
Bouguenais,44020,44340,Maison,95.0,5.0,500000.0,5263.16,2023-05-12
Bouguenais,44020,44340,Maison,95.0,4.0,220000.0,2315.79,2023-07-31
Bouguenais,44020,44340,Maison,96.0,5.0,230000.0,2395.83,2023-05-11
Bouguenais,44020,44340,Maison,97.0,4.0,350000.0,3608.25,2023-12-19
Bouguenais,44020,44340,Maison,98.0,5.0,372100.0,3796.94,2023-05-11
Bouguenais,44020,44340,Maison,100.0,5.0,267115.38,2671.15,2023-01-06
Bouguenais,44020,44340,Maison,100.0,4.0,370000.0,3700.0,2023-06-26
Bouguenais,44020,44340,Maison,100.0,5.0,295000.0,2950.0,2023-07-11
Bouguenais,44020,44340,Maison,101.0,3.0,600000.0,5940.59,2023-02-01
Bouguenais,44020,44340,Maison,101.0,4.0,162000.0,1603.96,2023-09-12
Bouguenais,44020,44340,Maison,102.0,4.0,340000.0,3333.33,2023-11-20
Bouguenais,44020,44340,Maison,104.0,4.0,384000.0,3692.31,2023-02-23
Bouguenais,44020,44340,Maison,106.0,4.0,300000.0,2830.19,2023-12-08
Bouguenais,44020,44340,Maison,107.0,3.0,317000.0,2962.62,2023-03-24
Bouguenais,44020,44340,Maison,107.0,4.0,314000.0,2934.58,2023-09-01
Bouguenais,44020,44340,Maison,108.0,5.0,290000.0,2685.19,2023-06-23
Bouguenais,44020,44340,Maison,108.0,3.0,300000.0,2777.78,2023-07-28
