commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Thizy-les-Bourgs,69248,69240,Appartement,48.0,14300.0,297.92,2024-01-24
Tassin-la-Demi-Lune,69244,69160,Appartement,81.0,315200.0,3891.36,2024-01-17
Tarare,69243,69170,Appartement,36.0,79760.0,2215.56,2024-01-12
Caluire-et-Cuire,69034,69300,Appartement,95.0,240400.0,2530.53,2024-01-25
Lyon 1er Arrondissement,69381,69001,Appartement,157.0,363000.0,2312.1,2024-01-05
Lyon 1er Arrondissement,69381,69001,Appartement,91.0,363000.0,3989.01,2024-01-05
Lyon 9e Arrondissement,69389,69009,Appartement,47.0,242000.0,5148.94,2024-01-09
Saint-Genis-les-Ollières,69205,69290,Appartement,40.0,207000.0,5175.0,2024-01-18
Villefranche-sur-Saône,69264,69400,Appartement,45.0,138000.0,3066.67,2024-01-05
Montanay,69284,69250,Maison,91.0,460000.0,5054.95,2024-01-08
Dardilly,69072,69570,Appartement,98.0,407000.0,4153.06,2024-01-25
Lyon 2e Arrondissement,69382,69002,Appartement,36.0,170000.0,4722.22,2024-01-25
Sainte-Foy-lès-Lyon,69202,69110,Appartement,76.0,100550.0,1323.03,2024-01-11
Grigny,69096,69520,Appartement,65.0,90000.0,1384.62,2024-01-23
Villechenève,69263,69770,Maison,107.0,315670.0,2950.19,2024-01-12
Tassin-la-Demi-Lune,69244,69160,Appartement,77.0,304650.0,3956.49,2024-01-12
Pollionnay,69154,69290,Maison,109.0,584000.0,5357.8,2024-01-19
Gleizé,69092,69400,Appartement,72.0,249713.0,3468.24,2024-01-11
Lyon 5e Arrondissement,69385,69005,Appartement,205.0,1222000.0,5960.98,2024-01-15
Grandris,69093,69870,Appartement,100.0,120000.0,1200.0,2024-01-04
Beaujeu,69018,69430,Maison,139.0,130000.0,935.25,2024-01-25
Fontaines-sur-Saône,69088,69270,Appartement,79.0,150400.0,1903.8,2024-01-24
Amplepuis,69006,69550,Maison,77.0,40000.0,519.48,2024-01-16
Fontaines-sur-Saône,69088,69270,Appartement,79.0,164400.0,2081.01,2024-01-24
Sainte-Consorce,69190,69280,Maison,40.0,202710.0,5067.75,2024-01-08
Francheville,69089,69340,Appartement,71.0,319000.0,4492.96,2024-01-19
Grézieu-la-Varenne,69094,69290,Maison,122.0,465000.0,3811.48,2024-01-18
Lyon 4e Arrondissement,69384,69004,Appartement,65.0,190000.0,2923.08,2024-01-23
Lyon 1er Arrondissement,69381,69001,Appartement,31.0,128000.0,4129.03,2024-01-18
